month,lat,lon,max_temp_c,ndvi,veg_cover_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3
2008-09,5.008108,35.326249,53.0500,0.2337,5.6083,18.4251,45.8312,0.0857
2008-09,5.008108,35.371164,47.5100,0.2102,1.7000,18.2131,44.2170,0.0756
2008-09,5.008108,35.416080,46.1100,0.2559,9.3167,18.1500,44.2170,0.0756
2008-09,4.963192,35.146585,45.4100,0.4524,42.0667,21.4230,46.0658,0.1430
2008-09,4.963192,35.191501,45.3300,0.3842,30.7000,19.1859,46.7214,0.1228
2008-09,4.963192,35.236417,47.2100,0.2463,7.7083,16.4538,46.7214,0.1228
2008-09,4.963192,35.281333,45.1100,0.2405,6.7417,16.4208,45.8312,0.0857
2008-09,4.963192,35.326249,46.1100,0.2702,11.7000,16.7979,45.8312,0.0857
2008-09,4.963192,35.371164,43.3300,0.2924,15.4083,20.5408,44.2170,0.0756
2008-09,4.963192,35.416080,45.8300,0.2275,4.5750,20.9621,44.2170,0.0756
2008-09,4.918276,35.011838,49.2300,0.2622,10.3667,30.6133,46.6034,0.1380
2008-09,4.918276,35.056754,45.5900,0.3521,25.3500,30.8831,48.2773,0.1016
2008-09,4.918276,35.101670,40.4500,0.4191,36.5083,29.8880,48.2773,0.1016
2008-09,4.918276,35.146585,44.4300,0.3463,24.3833,29.8880,48.2773,0.1016
2008-09,4.918276,35.191501,44.0700,0.3731,28.8583,29.2147,48.9169,0.1238
2008-09,4.918276,35.236417,43.1500,0.2893,14.8750,17.7116,48.9169,0.1238
2008-09,4.918276,35.281333,44.6900,0.2343,5.7167,16.2036,46.6219,0.1005
2008-09,4.918276,35.326249,44.9900,0.2460,7.6583,16.5183,46.6219,0.1005
2008-09,4.918276,35.371164,43.1100,0.2828,13.7917,21.8934,44.4181,0.0849
2008-09,4.918276,35.416080,48.3500,0.2092,1.5417,25.3877,44.4181,0.0849
2008-09,4.918276,35.460996,45.2900,0.3205,20.0750,31.9262,42.0216,0.1429
2008-09,4.918276,35.505912,37.7100,0.3768,29.4667,32.3759,42.0216,0.1429
2008-09,4.918276,35.550827,34.8300,0.4729,45.4833,25.3833,40.6072,0.2045
2008-09,4.873360,34.922007,48.1700,0.2727,12.1167,27.5768,44.6800,0.1501
2008-09,4.873360,34.966922,45.2100,0.3056,17.6000,29.0743,46.6034,0.1380
2008-09,4.873360,35.011838,48.3900,0.2918,15.2917,30.1749,46.6034,0.1380
2008-09,4.873360,35.056754,45.1100,0.3305,21.7500,27.2710,48.2773,0.1016
2008-09,4.873360,35.101670,45.7100,0.2914,15.2333,25.4534,48.2773,0.1016
2008-09,4.873360,35.146585,43.1900,0.3115,18.5917,25.4534,48.2773,0.1016
2008-09,4.873360,35.191501,43.7300,0.3294,21.5583,30.4158,48.9169,0.1238
2008-09,4.873360,35.236417,43.2100,0.2510,8.5083,20.5808,48.9169,0.1238
2008-09,4.873360,35.281333,44.5900,0.2309,5.1500,22.1709,46.6219,0.1005
2008-09,4.873360,35.326249,42.0900,0.2931,15.5083,25.1906,46.6219,0.1005
2008-09,4.873360,35.371164,43.6900,0.2746,12.4250,24.1522,44.4181,0.0849
2008-09,4.873360,35.416080,47.2300,0.2595,9.9083,30.1195,44.4181,0.0849
2008-09,4.873360,35.460996,40.2100,0.3415,23.5833,37.4048,42.0216,0.1429
2008-09,4.873360,35.505912,34.7900,0.5105,51.7500,36.1073,42.0216,0.1429
2008-09,4.873360,35.550827,30.2700,0.6225,70.4083,26.8950,40.6072,0.2045
2008-09,4.828445,34.787259,45.2900,0.2797,13.2833,31.8464,45.9625,0.1610
2008-09,4.828445,34.832175,48.0500,0.3410,23.5083,26.6123,45.9625,0.1610
2008-09,4.828445,34.877091,46.8900,0.3079,17.9750,22.7203,44.9803,0.1473
2008-09,4.828445,34.922007,47.3900,0.1872,0.0000,21.7806,44.9803,0.1473
2008-09,4.828445,34.966922,50.1500,0.2265,4.4167,22.9463,46.5071,0.1183
2008-09,4.828445,35.011838,49.1700,0.2361,6.0167,23.1973,46.5071,0.1183
2008-09,4.828445,35.056754,49.8500,0.2553,9.2167,22.6868,48.4986,0.1059
2008-09,4.828445,35.101670,49.0300,0.2359,5.9750,26.5987,48.4986,0.1059
2008-09,4.828445,35.146585,43.7100,0.3518,25.3083,26.5987,48.4986,0.1059
2008-09,4.828445,35.191501,42.2500,0.3529,25.4833,28.1423,48.4000,0.1231
2008-09,4.828445,35.236417,37.0300,0.4097,34.9500,29.0982,48.4000,0.1231
