month,lat,lon,max_temp_c,min_temp_c,mean_temp_c,dtr_c,elevation_m,ndvi,evi,veg_cover_pct,forest_pct,savanna_pct,wetland_pct,cropland_pct,urban_pct,surface_water_occurrence_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3,wind_speed_ms
2016-03,5.008108,35.326249,51.2300,19.5900,36.3675,31.6400,456.0000,0.1967,0.0996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,46.9780,35.3350,0.0449,2.6914
2016-03,5.008108,35.371164,50.7300,24.6500,37.4550,26.0800,461.0000,0.1828,0.1100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.4498,35.5380,0.0424,2.8324
2016-03,5.008108,35.416080,47.6900,25.2700,36.6725,22.4200,552.0000,0.1838,0.1007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,41.3169,35.5380,0.0424,2.8324
2016-03,4.963192,35.146585,46.2300,26.7500,35.8725,19.4800,459.0000,0.2476,0.1391,7.9333,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,50.0965,34.1663,0.0874,2.5803
2016-03,4.963192,35.191501,46.1500,26.1500,35.6300,20.0000,455.0000,0.2408,0.1417,6.7917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.4482,34.7838,0.0652,2.5620
2016-03,4.963192,35.236417,47.2300,26.3100,35.3500,20.9200,488.0000,0.2066,0.1191,1.0917,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,52.9327,34.7838,0.0652,2.5620
2016-03,4.963192,35.281333,48.9900,24.7900,35.5175,24.2000,459.0000,0.2298,0.1178,4.9667,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,48.9173,35.3350,0.0449,2.6914
2016-03,4.963192,35.326249,48.6900,25.7300,35.8750,22.9600,455.0000,0.2468,0.1318,7.8000,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,50.9346,35.3350,0.0449,2.6914
2016-03,4.963192,35.371164,44.2100,24.3900,34.9575,19.8200,602.0000,0.2258,0.1338,4.3083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.8968,35.5380,0.0424,2.8324
2016-03,4.963192,35.416080,48.0900,24.9300,36.3100,23.1600,553.0000,0.2123,0.1281,2.0500,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,49.7756,35.5380,0.0424,2.8324
2016-03,4.918276,35.011838,47.3500,26.3900,35.9825,20.9600,507.0000,0.2378,0.1253,6.3000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,44.3955,33.8366,0.0841,2.7910
2016-03,4.918276,35.056754,46.4900,27.1300,35.6000,19.3600,585.0000,0.2288,0.1158,4.8083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.3164,34.9973,0.0470,2.5732
2016-03,4.918276,35.101670,44.6300,27.4500,35.4725,17.1800,658.0000,0.2271,0.1210,4.5167,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,51.2605,34.9973,0.0470,2.5732
2016-03,4.918276,35.146585,44.2900,27.0300,35.1825,17.2600,545.0000,0.2529,0.1382,8.8167,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,51.2605,34.9973,0.0470,2.5732
2016-03,4.918276,35.191501,44.7500,27.1300,35.3525,17.6200,533.0000,0.2694,0.1575,11.5667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.7287,36.0869,0.0547,2.5183
2016-03,4.918276,35.236417,46.8500,26.9300,36.0250,19.9200,489.0000,0.2218,0.1280,3.6417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.1261,36.0869,0.0547,2.5183
2016-03,4.918276,35.281333,48.3100,26.6500,36.4950,21.6600,495.0000,0.2352,0.1305,5.8583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.1433,36.2308,0.0510,2.6609
2016-03,4.918276,35.326249,47.0100,27.1700,36.4200,19.8400,606.0000,0.2279,0.1218,4.6583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.9104,36.2308,0.0510,2.6609
2016-03,4.918276,35.371164,44.0100,25.6300,34.8225,18.3800,649.0000,0.2419,0.1346,6.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.8667,35.9602,0.0466,2.8122
2016-03,4.918276,35.416080,45.4500,25.6100,35.6000,19.8400,590.0000,0.2153,0.1179,2.5583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.9137,35.9602,0.0466,2.8122
2016-03,4.918276,35.460996,42.6500,23.0500,33.2475,19.6000,990.0000,0.3012,0.1640,16.8667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0539,35.1521,0.0979,3.0025
2016-03,4.918276,35.505912,38.2100,20.7700,29.5625,17.4400,1386.0000,0.3430,0.2172,23.8333,0.0000,0.8637,0.0000,0.0000,0.0000,0.0000,57.5133,35.1521,0.0979,3.0025
2016-03,4.918276,35.550827,35.3700,20.2900,28.4350,15.0800,1308.0000,0.4391,0.2739,39.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.1679,34.3113,0.1577,3.2500
2016-03,4.873360,34.922007,45.2100,25.1300,34.5150,20.0800,453.0000,0.2283,0.1470,4.7167,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,48.3453,32.5908,0.1127,3.0137
2016-03,4.873360,34.966922,44.7300,25.9300,34.5650,18.8000,455.0000,0.2322,0.1291,5.3583,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,47.8564,33.8366,0.0841,2.7910
2016-03,4.873360,35.011838,46.3500,26.1100,35.6875,20.2400,487.0000,0.2286,0.1227,4.7667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.3959,33.8366,0.0841,2.7910
2016-03,4.873360,35.056754,45.9500,27.3300,36.1350,18.6200,532.0000,0.1979,0.1094,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.7321,34.9973,0.0470,2.5732
2016-03,4.873360,35.101670,45.1700,26.7500,35.3925,18.4200,514.0000,0.2285,0.1325,4.7417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.9086,34.9973,0.0470,2.5732
2016-03,4.873360,35.146585,45.1900,26.3700,35.5575,18.8200,594.0000,0.2518,0.1474,8.6333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,52.9086,34.9973,0.0470,2.5732
2016-03,4.873360,35.191501,43.4500,26.9100,34.9925,16.5400,554.0000,0.2471,0.1560,7.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,62.6032,36.0869,0.0547,2.5183
2016-03,4.873360,35.236417,46.1300,27.8700,36.1475,18.2600,550.0000,0.2083,0.1206,1.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5059,36.0869,0.0547,2.5183
2016-03,4.873360,35.281333,45.4700,27.6700,36.1175,17.8000,585.0000,0.2191,0.1227,3.1750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.6295,36.2308,0.0510,2.6609
2016-03,4.873360,35.326249,43.7700,27.4100,35.2125,16.3600,818.0000,0.2481,0.1292,8.0083,0.0000,0.0000,0.0000,0.0000,0.0000,5.0000,56.8350,36.2308,0.0510,2.6609
2016-03,4.873360,35.371164,43.9100,25.8700,34.4225,18.0400,701.0000,0.2464,0.1379,7.7333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2078,35.9602,0.0466,2.8122
2016-03,4.873360,35.416080,44.5500,25.2900,34.6525,19.2600,715.0000,0.2616,0.1397,10.2583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.3268,35.9602,0.0466,2.8122
2016-03,4.873360,35.460996,40.3300,22.0500,31.2425,18.2800,1112.0000,0.3287,0.1783,21.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.9636,35.1521,0.0979,3.0025
2016-03,4.873360,35.505912,35.9500,18.0100,27.1575,17.9400,1477.0000,0.4432,0.2853,40.5250,0.0000,0.8637,0.0000,0.0000,0.0000,0.0000,53.1377,35.1521,0.0979,3.0025
2016-03,4.873360,35.550827,31.2500,18.4900,25.5250,12.7600,1161.0000,0.5740,0.3384,62.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.0100,34.3113,0.1577,3.2500
2016-03,4.828445,34.787259,46.7300,25.0900,35.4300,21.6400,453.0000,0.2474,0.1290,7.8917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.4378,32.1345,0.1158,3.5970
2016-03,4.828445,34.832175,48.0700,24.9500,35.6950,23.1200,465.0000,0.2546,0.1287,9.0917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,47.8093,32.1345,0.1158,3.5970
2016-03,4.828445,34.877091,47.8300,25.3700,35.5900,22.4600,459.0000,0.2367,0.1259,6.1167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.2476,32.6544,0.1073,3.4464
2016-03,4.828445,34.922007,48.0900,25.7900,35.9375,22.3000,455.0000,0.1628,0.0949,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,48.2356,32.6544,0.1073,3.4464
2016-03,4.828445,34.966922,45.1900,25.1300,34.4475,20.0600,454.0000,0.2309,0.1611,5.1583,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,47.9620,34.7846,0.0678,3.1226
2016-03,4.828445,35.011838,46.1300,24.6500,34.9550,21.4800,463.0000,0.2395,0.1500,6.5750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.1456,34.7846,0.0678,3.1226
2016-03,4.828445,35.056754,48.2100,25.2300,36.2850,22.9800,471.0000,0.2410,0.1336,6.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,51.5866,35.6453,0.0517,2.7769
2016-03,4.828445,35.101670,47.9100,27.1100,36.4000,20.8000,477.0000,0.2467,0.1458,7.7750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0437,35.6453,0.0517,2.7769
2016-03,4.828445,35.146585,45.7500,27.1500,36.5050,18.6000,703.0000,0.2304,0.1194,5.0667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.0437,35.6453,0.0517,2.7769
2016-03,4.828445,35.191501,43.6500,26.8700,35.1150,16.7800,653.0000,0.2697,0.1440,11.6083,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,53.2354,36.9520,0.0572,2.6673
2016-03,4.828445,35.236417,38.9500,24.8500,31.4100,14.1000,743.0000,0.3558,0.2000,25.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.1753,36.9520,0.0572,2.6673
2016-03,4.828445,35.281333,35.8100,22.1900,28.5775,13.6200,1003.0000,0.4326,0.2527,38.7667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,59.0289,36.3719,0.0521,2.8312
2016-03,4.828445,35.326249,41.0100,25.7900,32.7325,15.2200,880.0000,0.3275,0.1777,21.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,56.5544,36.3719,0.0521,2.8312
2016-03,4.828445,35.371164,44.1100,24.9900,34.0175,19.1200,738.0000,0.2710,0.1462,11.8333,0.0000,0.0000,0.0000,0.0000,0.0000,17.0000,50.8287,36.5088,0.0519,3.0011
2016-03,4.828445,35.416080,41.1100,23.9700,32.5075,17.1400,1024.0000,0.3182,0.1801,19.6917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.1274,36.5088,0.0519,3.0011
2016-03,4.828445,35.460996,36.9900,21.3300,29.0600,15.6600,1056.0000,0.4000,0.2376,33.3333,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,49.3024,35.8260,0.1283,3.2011
2016-03,4.828445,35.505912,34.6500,19.3900,26.8575,15.2600,1359.0000,0.4540,0.3029,42.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,50.1141,35.8260,0.1283,3.2011
2016-03,4.828445,35.550827,36.0900,23.5900,29.4825,12.5000,850.0000,0.3857,0.2433,30.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0490,34.9503,0.1150,3.4539
2016-03,4.783529,34.652512,47.7300,24.9700,36.1325,22.7600,477.0000,0.2349,0.1136,5.8250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.4721,32.0668,0.0778,3.6571
2016-03,4.783529,34.697428,46.7300,25.0500,35.0350,21.6800,468.0000,0.2334,0.1218,5.5667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,54.4721,32.0668,0.0778,3.6571
