month,lat,lon,max_temp_c,ndvi,veg_cover_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3
2004-07,5.008108,35.326249,47.8100,0.2090,1.4917,39.4453,40.3682,0.0505
2004-07,5.008108,35.371164,46.8900,0.2265,4.4167,34.9773,40.4366,0.0479
2004-07,5.008108,35.416080,42.8700,0.2551,9.1833,36.5083,40.4366,0.0479
2004-07,4.963192,35.146585,44.7700,0.3109,18.4833,55.0465,39.1836,0.0951
2004-07,4.963192,35.191501,44.7900,0.3023,17.0500,49.4811,39.7762,0.0738
2004-07,4.963192,35.236417,44.6700,0.2099,1.6417,46.3020,39.7762,0.0738
2004-07,4.963192,35.281333,45.1700,0.2147,2.4583,43.4915,40.3682,0.0505
2004-07,4.963192,35.326249,44.3100,0.2308,5.1250,35.9741,40.3682,0.0505
2004-07,4.963192,35.371164,40.4100,0.2931,15.5083,41.8483,40.4366,0.0479
2004-07,4.963192,35.416080,43.7700,0.2467,7.7917,38.3565,40.4366,0.0479
2004-07,4.918276,35.011838,44.3500,0.2819,13.6500,60.0312,38.7730,0.0947
2004-07,4.918276,35.056754,43.0300,0.3028,17.1250,60.5782,39.8040,0.0544
2004-07,4.918276,35.101670,41.7500,0.3035,17.2583,59.0071,39.8040,0.0544
2004-07,4.918276,35.146585,41.9100,0.2953,15.8833,59.0071,39.8040,0.0544
2004-07,4.918276,35.191501,42.7500,0.3186,19.7667,53.3821,40.4449,0.0651
2004-07,4.918276,35.236417,44.5700,0.2103,1.7167,43.3593,40.4449,0.0651
2004-07,4.918276,35.281333,44.7900,0.2096,1.5917,42.0740,40.6778,0.0583
2004-07,4.918276,35.326249,43.9900,0.2082,1.3667,39.8852,40.6778,0.0583
2004-07,4.918276,35.371164,42.1700,0.2780,13.0000,38.5299,40.6510,0.0532
2004-07,4.918276,35.416080,42.9300,0.2053,0.8750,37.4132,40.6510,0.0532
2004-07,4.918276,35.460996,39.3900,0.2984,16.4083,48.1435,39.8946,0.1107
2004-07,4.918276,35.505912,35.1500,0.3998,33.2917,44.8801,39.8946,0.1107
2004-07,4.918276,35.550827,31.8300,0.4640,43.9917,44.5090,38.9671,0.1779
2004-07,4.873360,34.922007,46.6500,0.2013,0.2083,51.3010,37.7844,0.1224
2004-07,4.873360,34.966922,44.8500,0.2348,5.8000,56.9702,38.7730,0.0947
2004-07,4.873360,35.011838,44.0300,0.2650,10.8250,53.8232,38.7730,0.0947
2004-07,4.873360,35.056754,42.0900,0.2698,11.6250,49.4859,39.8040,0.0544
2004-07,4.873360,35.101670,43.8500,0.2879,14.6500,46.2972,39.8040,0.0544
2004-07,4.873360,35.146585,44.2100,0.2821,13.6750,46.2972,39.8040,0.0544
2004-07,4.873360,35.191501,41.7100,0.3003,16.7167,46.7947,40.4449,0.0651
2004-07,4.873360,35.236417,44.4100,0.2072,1.1917,44.9268,40.4449,0.0651
2004-07,4.873360,35.281333,43.3900,0.1961,0.0000,46.6963,40.6778,0.0583
2004-07,4.873360,35.326249,42.0100,0.2233,3.8833,48.8172,40.6778,0.0583
