lat,lon,county
4.55895,35.011838,Turkana
4.55895,35.056754,Turkana
4.55895,35.10167,Turkana
4.55895,35.146585,Turkana
4.55895,35.191501,Turkana
4.55895,35.236417,Turkana
4.55895,35.281333,Turkana
4.55895,35.326249,Turkana
4.55895,35.371164,Turkana
4.55895,35.41608,Turkana
4.55895,35.460996,Turkana
4.55895,35.505912,Turkana
4.55895,35.550827,Turkana
4.55895,35.595743,Turkana
4.55895,35.640659,Turkana
4.55895,35.685575,Turkana
4.55895,35.73049,Turkana
4.55895,35.775406,Turkana
4.55895,35.820322,Turkana
4.55895,35.865238,Turkana
4.55895,35.910153,Turkana
4.55895,35.955069,Unknown
4.514034,34.24827,Unknown
4.514034,34.293186,Unknown
4.514034,34.338102,Turkana
4.514034,34.383017,Turkana
4.514034,34.427933,Turkana
4.514034,34.472849,Turkana
4.514034,34.517765,Turkana
4.514034,34.562681,Turkana
4.514034,34.607596,Turkana
4.514034,34.652512,Turkana
4.514034,34.697428,Turkana
4.514034,34.742344,Turkana
4.514034,34.787259,Turkana
4.514034,34.832175,Turkana
4.514034,34.877091,Turkana
4.514034,34.922007,Turkana
4.514034,34.966922,Turkana
4.514034,35.011838,Turkana
4.514034,35.056754,Turkana
4.514034,35.10167,Turkana
4.514034,35.146585,Turkana
4.514034,35.191501,Turkana
4.514034,35.236417,Turkana
4.514034,35.281333,Turkana
4.514034,35.326249,Turkana
4.514034,35.371164,Turkana
4.514034,35.41608,Turkana
4.514034,35.460996,Turkana
4.514034,35.505912,Turkana
4.514034,35.550827,Turkana
4.514034,35.595743,Turkana
4.514034,35.640659,Turkana
4.514034,35.685575,Turkana
4.514034,35.73049,Turkana
4.514034,35.775406,Turkana
4.514034,35.820322,Turkana
4.514034,35.865238,Turkana
4.514034,35.910153,Turkana
4.514034,35.955069,Turkana
4.514034,35.999985,Unknown
4.469119,34.203354,Unknown
4.469119,34.24827,Unknown
4.469119,34.293186,Turkana
4.469119,34.338102,Turkana
4.469119,34.383017,Turkana
4.469119,34.427933,Turkana
4.469119,34.472849,Turkana
4.469119,34.517765,Turkana
4.469119,34.562681,Turkana
4.469119,34.607596,Turkana
4.469119,34.652512,Turkana
4.469119,34.697428,Turkana
4.469119,34.742344,Turkana
4.469119,34.787259,Turkana
4.469119,34.832175,Turkana
4.469119,34.877091,Turkana
4.469119,34.922007,Turkana
4.469119,34.966922,Turkana
4.469119,35.011838,Turkana
4.469119,35.056754,Turkana
4.469119,35.10167,Turkana
4.469119,35.146585,Turkana
4.469119,35.191501,Turkana
4.469119,35.236417,Turkana
4.469119,35.281333,Turkana
4.469119,35.326249,Turkana
4.469119,35.371164,Turkana
4.469119,35.41608,Turkana
4.469119,35.460996,Turkana
4.469119,35.505912,Turkana
4.469119,35.550827,Turkana
4.469119,35.595743,Turkana
4.469119,35.640659,Turkana
4.469119,35.685575,Turkana
4.469119,35.73049,Turkana
4.469119,35.775406,Turkana
4.469119,35.820322,Turkana
4.469119,35.865238,Turkana
4.469119,35.910153,Turkana
4.469119,35.955069,Turkana
4.469119,35.999985,Turkana
4.469119,36.044901,Unknown
4.469119,36.089817,Unknown
4.469119,36.179648,Unknown
4.469119,36.224564,Unknown
4.469119,36.26948,Unknown
4.469119,36.314395,Unknown
4.469119,36.359311,Unknown
4.469119,36.404227,Unknown
4.469119,36.449143,Unknown
4.469119,36.494058,Unknown
4.469119,36.538974,Unknown
4.469119,36.58389,Unknown
4.469119,36.628806,Unknown
4.469119,36.673721,Unknown
4.469119,36.808469,Unknown
4.469119,36.853385,Unknown
4.424203,34.158439,Unknown
4.424203,34.203354,Unknown
4.424203,34.24827,Turkana
4.424203,34.293186,Turkana
4.424203,34.338102,Turkana
4.424203,34.383017,Turkana
4.424203,34.427933,Turkana
4.424203,34.472849,Turkana
4.424203,34.517765,Turkana
4.424203,34.562681,Turkana
4.424203,34.607596,Turkana
4.424203,34.652512,Turkana
4.424203,34.697428,Turkana
4.424203,34.742344,Turkana
4.424203,34.787259,Turkana
4.424203,34.832175,Turkana
4.424203,34.877091,Turkana
4.424203,34.922007,Turkana
4.424203,34.966922,Turkana
4.424203,35.011838,Turkana
4.424203,35.056754,Turkana
4.424203,35.10167,Turkana
4.424203,35.146585,Turkana
4.424203,35.191501,Turkana
4.424203,35.236417,Turkana
4.424203,35.281333,Turkana
4.424203,35.326249,Turkana
4.424203,35.371164,Turkana
4.424203,35.41608,Turkana
4.424203,35.460996,Turkana
4.424203,35.505912,Turkana
4.424203,35.550827,Turkana
4.424203,35.595743,Turkana
4.424203,35.640659,Turkana
4.424203,35.685575,Turkana
4.424203,35.73049,Turkana
4.424203,35.775406,Turkana
4.424203,35.820322,Turkana
4.424203,35.865238,Turkana
4.424203,35.910153,Turkana
4.424203,36.134732,Marsabit
4.424203,36.179648,Marsabit
4.424203,36.224564,Marsabit
4.424203,36.26948,Marsabit
4.424203,36.314395,Marsabit
4.424203,36.359311,Marsabit
4.424203,36.404227,Marsabit
4.424203,36.449143,Marsabit
4.424203,36.494058,Marsabit
4.424203,36.538974,Marsabit
4.424203,36.58389,Marsabit
4.424203,36.628806,Marsabit
4.424203,36.673721,Marsabit
4.424203,36.718637,Marsabit
4.424203,36.763553,Marsabit
4.424203,36.808469,Marsabit
4.424203,36.853385,Marsabit
4.424203,36.8983,Marsabit
4.424203,36.943216,Unknown
4.379287,34.113523,Unknown
4.379287,34.158439,Turkana
4.379287,34.203354,Turkana
4.379287,34.24827,Turkana
4.379287,34.293186,Turkana
4.379287,34.338102,Turkana
4.379287,34.383017,Turkana
4.379287,34.427933,Turkana
4.379287,34.472849,Turkana
4.379287,34.517765,Turkana
4.379287,34.562681,Turkana
4.379287,34.607596,Turkana
4.379287,34.652512,Turkana
4.379287,34.697428,Turkana
4.379287,34.742344,Turkana
4.379287,34.787259,Turkana
4.379287,34.832175,Turkana
4.379287,34.877091,Turkana
4.379287,34.922007,Turkana
4.379287,34.966922,Turkana
4.379287,35.011838,Turkana
4.379287,35.056754,Turkana
4.379287,35.10167,Turkana
4.379287,35.146585,Turkana
4.379287,35.191501,Turkana
4.379287,35.236417,Turkana
4.379287,35.281333,Turkana
4.379287,35.326249,Turkana
4.379287,35.371164,Turkana
4.379287,35.41608,Turkana
4.379287,35.460996,Turkana
4.379287,35.505912,Turkana
4.379287,35.550827,Turkana
4.379287,35.595743,Turkana
4.379287,35.640659,Turkana
4.379287,35.685575,Turkana
4.379287,35.73049,Turkana
4.379287,35.775406,Turkana
4.379287,35.820322,Turkana
4.379287,35.865238,Turkana
4.379287,35.910153,Turkana
4.379287,36.089817,Marsabit
4.379287,36.134732,Marsabit
4.379287,36.179648,Marsabit
4.379287,36.224564,Marsabit
4.379287,36.26948,Marsabit
4.379287,36.314395,Marsabit
4.379287,36.359311,Marsabit
4.379287,36.404227,Marsabit
4.379287,36.449143,Marsabit
4.379287,36.494058,Marsabit
4.379287,36.538974,Marsabit
4.379287,36.58389,Marsabit
4.379287,36.628806,Marsabit
4.379287,36.673721,Marsabit
4.379287,36.718637,Marsabit
4.379287,36.763553,Marsabit
4.379287,36.808469,Marsabit
4.379287,36.853385,Marsabit
4.379287,36.8983,Marsabit
4.379287,36.943216,Marsabit
4.379287,36.988132,Marsabit
4.379287,37.033048,Marsabit
4.379287,37.077963,Unknown
4.334371,34.068607,Unknown
4.334371,34.113523,Turkana
4.334371,34.158439,Turkana
4.334371,34.203354,Turkana
4.334371,34.24827,Turkana
4.334371,34.293186,Turkana
4.334371,34.338102,Turkana
4.334371,34.383017,Turkana
4.334371,34.427933,Turkana
4.334371,34.472849,Turkana
4.334371,34.517765,Turkana
4.334371,34.562681,Turkana
4.334371,34.607596,Turkana
4.334371,34.652512,Turkana
4.334371,34.697428,Turkana
4.334371,34.742344,Turkana
4.334371,34.787259,Turkana
4.334371,34.832175,Turkana
4.334371,34.877091,Turkana
4.334371,34.922007,Turkana
4.334371,34.966922,Turkana
4.334371,35.011838,Turkana
4.334371,35.056754,Turkana
4.334371,35.10167,Turkana
4.334371,35.146585,Turkana
4.334371,35.191501,Turkana
4.334371,35.236417,Turkana
4.334371,35.281333,Turkana
4.334371,35.326249,Turkana
4.334371,35.371164,Turkana
4.334371,35.41608,Turkana
4.334371,35.460996,Turkana
4.334371,35.505912,Turkana
4.334371,35.550827,Turkana
4.334371,35.595743,Turkana
4.334371,35.640659,Turkana
4.334371,35.685575,Turkana
4.334371,35.73049,Turkana
4.334371,35.775406,Turkana
4.334371,35.820322,Turkana
4.334371,35.865238,Turkana
4.334371,35.910153,Turkana
4.334371,36.044901,Turkana
4.334371,36.179648,Marsabit
4.334371,36.224564,Marsabit
4.334371,36.26948,Marsabit
4.334371,36.314395,Marsabit
4.334371,36.359311,Marsabit
4.334371,36.404227,Marsabit
4.334371,36.449143,Marsabit
4.334371,36.494058,Marsabit
4.334371,36.538974,Marsabit
4.334371,36.58389,Marsabit
4.334371,36.628806,Marsabit
4.334371,36.673721,Marsabit
4.334371,36.718637,Marsabit
4.334371,36.763553,Marsabit
4.334371,36.808469,Marsabit
4.334371,36.853385,Marsabit
4.334371,36.8983,Marsabit
4.334371,36.943216,Marsabit
4.334371,36.988132,Marsabit
4.334371,37.033048,Marsabit
4.334371,37.077963,Marsabit
4.334371,37.122879,Unknown
4.289455,34.023691,Unknown
4.289455,34.068607,Turkana
4.289455,34.113523,Turkana
4.289455,34.158439,Turkana
4.289455,34.203354,Turkana
4.289455,34.24827,Turkana
4.289455,34.293186,Turkana
4.289455,34.338102,Turkana
4.289455,34.383017,Turkana
4.289455,34.427933,Turkana
4.289455,34.472849,Turkana
4.289455,34.517765,Turkana
4.289455,34.562681,Turkana
4.289455,34.607596,Turkana
4.289455,34.652512,Turkana
4.289455,34.697428,Turkana
4.289455,34.742344,Turkana
4.289455,34.787259,Turkana
4.289455,34.832175,Turkana
4.289455,34.877091,Turkana
4.289455,34.922007,Turkana
4.289455,34.966922,Turkana
4.289455,35.011838,Turkana
4.289455,35.056754,Turkana
4.289455,35.10167,Turkana
4.289455,35.146585,Turkana
4.289455,35.191501,Turkana
4.289455,35.236417,Turkana
4.289455,35.281333,Turkana
4.289455,35.326249,Turkana
4.289455,35.371164,Turkana
4.289455,35.41608,Turkana
4.289455,35.460996,Turkana
4.289455,35.505912,Turkana
4.289455,35.550827,Turkana
4.289455,35.595743,Turkana
4.289455,35.640659,Turkana
4.289455,35.685575,Turkana
4.289455,35.73049,Turkana
4.289455,35.775406,Turkana
4.289455,35.820322,Turkana
4.289455,35.865238,Turkana
4.289455,35.910153,Turkana
4.289455,36.179648,Marsabit
4.289455,36.224564,Marsabit
4.289455,36.26948,Marsabit
4.289455,36.314395,Marsabit
4.289455,36.359311,Marsabit
4.289455,36.404227,Marsabit
4.289455,36.449143,Marsabit
4.289455,36.494058,Marsabit
4.289455,36.538974,Marsabit
4.289455,36.58389,Marsabit
4.289455,36.628806,Marsabit
4.289455,36.673721,Marsabit
4.289455,36.718637,Marsabit
4.289455,36.763553,Marsabit
4.289455,36.808469,Marsabit
4.289455,36.853385,Marsabit
4.289455,36.8983,Marsabit
4.289455,36.943216,Marsabit
4.289455,36.988132,Marsabit
4.289455,37.033048,Marsabit
4.289455,37.077963,Marsabit
4.289455,37.122879,Marsabit
4.289455,37.167795,Unknown
4.289455,40.761056,Unknown
4.289455,40.805972,Unknown
4.24454,33.978776,Unknown
4.24454,34.023691,Turkana
4.24454,34.068607,Turkana
4.24454,34.113523,Turkana
4.24454,34.158439,Turkana
4.24454,34.203354,Turkana
4.24454,34.24827,Turkana
4.24454,34.293186,Turkana
4.24454,34.338102,Turkana
4.24454,34.383017,Turkana
4.24454,34.427933,Turkana
4.24454,34.472849,Turkana
4.24454,34.517765,Turkana
4.24454,34.562681,Turkana
4.24454,34.607596,Turkana
4.24454,34.652512,Turkana
4.24454,34.697428,Turkana
4.24454,34.742344,Turkana
4.24454,34.787259,Turkana
4.24454,34.832175,Turkana
4.24454,34.877091,Turkana
4.24454,34.922007,Turkana
4.24454,34.966922,Turkana
4.24454,35.011838,Turkana
4.24454,35.056754,Turkana
4.24454,35.10167,Turkana
4.24454,35.146585,Turkana
4.24454,35.191501,Turkana
4.24454,35.236417,Turkana
4.24454,35.281333,Turkana
4.24454,35.326249,Turkana
4.24454,35.371164,Turkana
4.24454,35.41608,Turkana
4.24454,35.460996,Turkana
4.24454,35.505912,Turkana
4.24454,35.550827,Turkana
4.24454,35.595743,Turkana
4.24454,35.640659,Turkana
4.24454,35.685575,Turkana
4.24454,35.73049,Turkana
4.24454,35.775406,Turkana
4.24454,35.820322,Turkana
4.24454,35.865238,Turkana
4.24454,35.910153,Turkana
4.24454,35.955069,Turkana
4.24454,36.224564,Marsabit
4.24454,36.26948,Marsabit
4.24454,36.314395,Marsabit
4.24454,36.359311,Marsabit
4.24454,36.404227,Marsabit
4.24454,36.449143,Marsabit
4.24454,36.494058,Marsabit
4.24454,36.538974,Marsabit
4.24454,36.58389,Marsabit
4.24454,36.628806,Marsabit
4.24454,36.673721,Marsabit
4.24454,36.718637,Marsabit
4.24454,36.763553,Marsabit
4.24454,36.808469,Marsabit
4.24454,36.853385,Marsabit
4.24454,36.8983,Marsabit
4.24454,36.943216,Marsabit
4.24454,36.988132,Marsabit
4.24454,37.033048,Marsabit
4.24454,37.077963,Marsabit
4.24454,37.122879,Marsabit
4.24454,37.167795,Marsabit
