month,lat,lon,max_temp_c,ndvi,veg_cover_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3
2011-09,5.008108,35.326249,46.5500,0.4199,36.6500,37.4342,51.2684,0.1224
2011-09,5.008108,35.371164,41.4100,0.4893,48.2167,34.2458,50.2148,0.1067
2011-09,5.008108,35.416080,42.2500,0.4245,37.4167,33.1849,50.2148,0.1067
2011-09,4.963192,35.146585,40.7500,0.3907,31.7750,43.9302,51.7050,0.1839
2011-09,4.963192,35.191501,41.7900,0.4227,37.1167,42.5054,52.4432,0.1706
2011-09,4.963192,35.236417,39.7300,0.4606,43.4333,37.5724,52.4432,0.1706
2011-09,4.963192,35.281333,39.7300,0.4353,39.2167,37.5944,51.2684,0.1224
2011-09,4.963192,35.326249,38.5700,0.5333,55.5500,34.7113,51.2684,0.1224
2011-09,4.963192,35.371164,39.0900,0.4577,42.9500,40.6339,50.2148,0.1067
2011-09,4.963192,35.416080,42.8100,0.4359,39.3083,39.5616,50.2148,0.1067
2011-09,4.918276,35.011838,42.1900,0.3723,28.7167,50.4213,51.9513,0.1770
2011-09,4.918276,35.056754,40.3700,0.4058,34.3000,56.1308,53.0310,0.1335
2011-09,4.918276,35.101670,39.2300,0.4102,35.0250,53.2175,53.0310,0.1335
2011-09,4.918276,35.146585,40.3300,0.4166,36.1000,53.2175,53.0310,0.1335
2011-09,4.918276,35.191501,41.7900,0.4575,42.9167,51.5271,53.4152,0.1546
2011-09,4.918276,35.236417,42.3500,0.4379,39.6500,35.8458,53.4152,0.1546
2011-09,4.918276,35.281333,42.7900,0.4985,49.7500,33.7108,51.7605,0.1333
2011-09,4.918276,35.326249,41.1500,0.4478,41.2917,33.9515,51.7605,0.1333
2011-09,4.918276,35.371164,40.2500,0.4192,36.5333,41.5156,50.3225,0.1137
2011-09,4.918276,35.416080,42.1700,0.3416,23.5917,44.8009,50.3225,0.1137
2011-09,4.918276,35.460996,39.0500,0.5074,51.2333,50.1478,48.8049,0.1794
2011-09,4.918276,35.505912,36.0100,0.5461,57.6750,53.1462,48.8049,0.1794
2011-09,4.918276,35.550827,33.2100,0.6166,69.4250,42.6717,48.1619,0.2525
2011-09,4.873360,34.922007,42.0700,0.2707,11.7833,48.9282,49.5738,0.1859
2011-09,4.873360,34.966922,42.7100,0.3836,30.5917,51.3136,51.9513,0.1770
2011-09,4.873360,35.011838,42.2500,0.4568,42.8083,46.0039,51.9513,0.1770
2011-09,4.873360,35.056754,39.9900,0.4083,34.7083,46.1507,53.0310,0.1335
2011-09,4.873360,35.101670,41.2700,0.4012,33.5417,46.3973,53.0310,0.1335
2011-09,4.873360,35.146585,42.5500,0.4337,38.9500,46.3973,53.0310,0.1335
2011-09,4.873360,35.191501,40.5100,0.4886,48.1000,52.0500,53.4152,0.1546
2011-09,4.873360,35.236417,44.0900,0.3500,25.0083,37.7657,53.4152,0.1546
2011-09,4.873360,35.281333,42.0100,0.4110,35.1667,41.3327,51.7605,0.1333
2011-09,4.873360,35.326249,39.3500,0.5080,51.3250,41.4016,51.7605,0.1333
2011-09,4.873360,35.371164,39.5100,0.4346,39.1083,40.2713,50.3225,0.1137
2011-09,4.873360,35.416080,40.7500,0.3938,32.3000,45.1489,50.3225,0.1137
