month,lat,lon,max_temp_c,ndvi,veg_cover_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3
2012-10,5.008108,35.326249,41.0700,0.3111,18.5167,32.0325,53.2941,0.1022
2012-10,5.008108,35.371164,38.3700,0.4283,38.0500,30.5326,52.3313,0.0854
2012-10,5.008108,35.416080,40.3900,0.3715,28.5833,33.7121,52.3313,0.0854
2012-10,4.963192,35.146585,37.1100,0.5030,50.4917,45.5478,51.9503,0.1644
2012-10,4.963192,35.191501,36.8500,0.4636,43.9333,43.6895,53.4778,0.1446
2012-10,4.963192,35.236417,36.9500,0.4590,43.1583,38.4725,53.4778,0.1446
2012-10,4.963192,35.281333,36.8100,0.4235,37.2500,40.5969,53.2941,0.1022
2012-10,4.963192,35.326249,36.9900,0.4632,43.8667,39.5463,53.2941,0.1022
2012-10,4.963192,35.371164,36.6900,0.4604,43.4000,44.1746,52.3313,0.0854
2012-10,4.963192,35.416080,39.9300,0.3810,30.1583,40.6561,52.3313,0.0854
2012-10,4.918276,35.011838,40.0700,0.4620,43.6667,51.0959,51.4729,0.1653
2012-10,4.918276,35.056754,37.2900,0.4665,44.4083,57.9245,53.9579,0.1282
2012-10,4.918276,35.101670,38.7900,0.4636,43.9333,50.3911,53.9579,0.1282
2012-10,4.918276,35.146585,38.1900,0.5055,50.9083,50.3911,53.9579,0.1282
2012-10,4.918276,35.191501,36.7100,0.4983,49.7083,50.4246,55.3845,0.1479
2012-10,4.918276,35.236417,38.4100,0.4468,41.1417,43.8520,55.3845,0.1479
2012-10,4.918276,35.281333,39.9300,0.4350,39.1667,40.5487,54.1290,0.1208
2012-10,4.918276,35.326249,39.6500,0.4196,36.6000,40.5312,54.1290,0.1208
2012-10,4.918276,35.371164,37.9700,0.4331,38.8500,43.9260,52.6181,0.0983
2012-10,4.918276,35.416080,41.0300,0.3368,22.8000,47.7667,52.6181,0.0983
2012-10,4.918276,35.460996,35.5500,0.5100,51.6583,57.0865,50.8367,0.1552
2012-10,4.918276,35.505912,29.7500,0.5804,63.3917,59.1830,50.8367,0.1552
2012-10,4.918276,35.550827,29.4700,0.6364,72.7417,55.9882,50.0695,0.2197
2012-10,4.873360,34.922007,36.5300,0.4962,49.3667,51.3798,48.4923,0.1786
2012-10,4.873360,34.966922,36.8300,0.4716,45.2667,51.9564,51.4729,0.1653
2012-10,4.873360,35.011838,36.8500,0.5286,54.7583,50.9037,51.4729,0.1653
2012-10,4.873360,35.056754,37.2100,0.4618,43.6333,52.1975,53.9579,0.1282
2012-10,4.873360,35.101670,38.1500,0.5039,50.6500,44.9157,53.9579,0.1282
2012-10,4.873360,35.146585,36.5700,0.5203,53.3750,44.9157,53.9579,0.1282
2012-10,4.873360,35.191501,36.0300,0.4985,49.7500,47.0022,55.3845,0.1479
2012-10,4.873360,35.236417,37.7300,0.4217,36.9500,39.9925,55.3845,0.1479
2012-10,4.873360,35.281333,36.4100,0.4183,36.3833,44.1684,54.1290,0.1208
2012-10,4.873360,35.326249,36.1300,0.4451,40.8417,51.0490,54.1290,0.1208
2012-10,4.873360,35.371164,37.2500,0.3980,32.9917,48.7736,52.6181,0.0983
2012-10,4.873360,35.416080,38.8900,0.3822,30.3750,52.6689,52.6181,0.0983
2012-10,4.873360,35.460996,33.1500,0.5543,59.0417,67.7014,50.8367,0.1552
2012-10,4.873360,35.505912,30.1900,0.6109,68.4917,76.6865,50.8367,0.1552
2012-10,4.873360,35.550827,26.0300,0.6331,72.1750,66.9020,50.0695,0.2197
2012-10,4.828445,34.787259,35.9900,0.5103,51.7167,50.1695,48.6364,0.1848
2012-10,4.828445,34.832175,41.9500,0.5052,50.8667,46.2005,48.6364,0.1848
2012-10,4.828445,34.877091,37.5900,0.5130,52.1667,42.3098,49.0442,0.1737
2012-10,4.828445,34.922007,34.1500,0.6183,69.7250,44.7470,49.0442,0.1737
2012-10,4.828445,34.966922,35.8500,0.5717,61.9500,44.2989,52.7903,0.1492
2012-10,4.828445,35.011838,36.6300,0.6076,67.9250,42.1502,52.7903,0.1492
2012-10,4.828445,35.056754,38.9900,0.6029,67.1500,36.3488,54.9865,0.1446
