month,lat,lon,max_temp_c,min_temp_c,mean_temp_c,dtr_c,elevation_m,ndvi,evi,veg_cover_pct,forest_pct,savanna_pct,wetland_pct,cropland_pct,urban_pct,surface_water_occurrence_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3,wind_speed_ms
2019-08,5.008108,35.326249,46.1100,23.2300,34.2075,22.8800,456.0000,0.2804,0.1477,13.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.1291,46.4114,0.0627,1.5963
2019-08,5.008108,35.371164,44.1300,24.1300,33.1700,20.0000,461.0000,0.3740,0.2140,29.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.5608,45.6446,0.0568,1.7772
2019-08,5.008108,35.416080,42.5300,24.5900,32.3875,17.9400,552.0000,0.4076,0.2219,34.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.0071,45.6446,0.0568,1.7772
2019-08,4.963192,35.146585,41.3300,23.9300,32.2950,17.4000,459.0000,0.3106,0.1589,18.4333,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,35.5810,46.1422,0.1135,1.2705
2019-08,4.963192,35.191501,42.9700,24.4100,33.3425,18.5600,455.0000,0.2838,0.1535,13.9667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.2726,46.9135,0.0910,1.4260
2019-08,4.963192,35.236417,45.4900,24.1900,34.0225,21.3000,488.0000,0.2790,0.1485,13.1583,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,35.1757,46.9135,0.0910,1.4260
2019-08,4.963192,35.281333,43.4300,23.1900,33.2750,20.2400,459.0000,0.3099,0.1603,18.3083,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,31.1143,46.4114,0.0627,1.5963
2019-08,4.963192,35.326249,40.0300,22.9900,31.6125,17.0400,455.0000,0.4216,0.2395,36.9333,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,31.8169,46.4114,0.0627,1.5963
2019-08,4.963192,35.371164,36.4700,23.6900,30.1850,12.7800,602.0000,0.4562,0.2871,42.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.6372,45.6446,0.0568,1.7772
2019-08,4.963192,35.416080,39.6300,24.1700,31.6200,15.4600,553.0000,0.3657,0.2303,27.6083,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,36.4818,45.6446,0.0568,1.7772
