month,lat,lon,max_temp_c
static,4.603866,35.550827,605.0000
static,4.603866,35.595743,629.0000
static,4.603866,35.640659,590.0000
static,4.603866,35.685575,450.0000
static,4.603866,35.730490,465.0000
static,4.603866,35.775406,495.0000
static,4.603866,35.820322,484.0000
static,4.603866,35.865238,371.0000
static,4.603866,35.910153,369.0000
static,4.603866,35.955069,369.0000
static,4.558950,34.293186,567.0000
static,4.558950,34.338102,589.0000
static,4.558950,34.383017,589.0000
static,4.558950,34.427933,550.0000
static,4.558950,34.472849,501.0000
static,4.558950,34.517765,494.0000
static,4.558950,34.562681,489.0000
static,4.558950,34.607596,484.0000
static,4.558950,34.652512,479.0000
static,4.558950,34.697428,477.0000
static,4.558950,34.742344,476.0000
static,4.558950,34.787259,474.0000
static,4.558950,34.832175,471.0000
static,4.558950,34.877091,471.0000
static,4.558950,34.922007,470.0000
static,4.558950,34.966922,471.0000
static,4.558950,35.011838,478.0000
static,4.558950,35.056754,481.0000
static,4.558950,35.101670,486.0000
static,4.558950,35.146585,566.0000
static,4.558950,35.191501,841.0000
static,4.558950,35.236417,945.0000
static,4.558950,35.281333,627.0000
static,4.558950,35.326249,559.0000
static,4.558950,35.371164,566.0000
static,4.558950,35.416080,584.0000
static,4.558950,35.460996,609.0000
static,4.558950,35.505912,654.0000
static,4.558950,35.550827,591.0000
static,4.558950,35.595743,570.0000
static,4.558950,35.640659,525.0000
static,4.558950,35.685575,465.0000
static,4.558950,35.730490,490.0000
static,4.558950,35.775406,566.0000
static,4.558950,35.820322,522.0000
static,4.558950,35.865238,371.0000
static,4.558950,35.910153,371.0000
static,4.558950,35.955069,368.0000
static,4.514034,34.248270,589.0000
static,4.514034,34.293186,574.0000
static,4.514034,34.338102,648.0000
static,4.514034,34.383017,849.0000
static,4.514034,34.427933,755.0000
static,4.514034,34.472849,503.0000
static,4.514034,34.517765,498.0000
static,4.514034,34.562681,493.0000
static,4.514034,34.607596,491.0000
static,4.514034,34.652512,483.0000
static,4.514034,34.697428,481.0000
static,4.514034,34.742344,478.0000
static,4.514034,34.787259,476.0000
static,4.514034,34.832175,473.0000
static,4.514034,34.877091,473.0000
static,4.514034,34.922007,474.0000
static,4.514034,34.966922,474.0000
static,4.514034,35.011838,476.0000
static,4.514034,35.056754,482.0000
static,4.514034,35.101670,488.0000
static,4.514034,35.146585,736.0000
static,4.514034,35.191501,828.0000
static,4.514034,35.236417,654.0000
static,4.514034,35.281333,574.0000
static,4.514034,35.326249,555.0000
static,4.514034,35.371164,570.0000
static,4.514034,35.416080,593.0000
static,4.514034,35.460996,619.0000
static,4.514034,35.505912,744.0000
static,4.514034,35.550827,590.0000
static,4.514034,35.595743,547.0000
static,4.514034,35.640659,516.0000
static,4.514034,35.685575,480.0000
static,4.514034,35.730490,515.0000
static,4.514034,35.775406,604.0000
static,4.514034,35.820322,601.0000
static,4.514034,35.865238,369.0000
static,4.514034,35.910153,373.0000
static,4.514034,35.955069,365.0000
static,4.514034,35.999985,365.0000
static,4.469119,34.203354,617.0000
static,4.469119,34.248270,600.0000
static,4.469119,34.293186,583.0000
static,4.469119,34.338102,710.0000
static,4.469119,34.383017,1236.0000
static,4.469119,34.427933,996.0000
static,4.469119,34.472849,513.0000
static,4.469119,34.517765,506.0000
static,4.469119,34.562681,501.0000
static,4.469119,34.607596,497.0000
static,4.469119,34.652512,490.0000
static,4.469119,34.697428,485.0000
static,4.469119,34.742344,482.0000
static,4.469119,34.787259,478.0000
static,4.469119,34.832175,476.0000
static,4.469119,34.877091,476.0000
static,4.469119,34.922007,477.0000
static,4.469119,34.966922,477.0000
static,4.469119,35.011838,479.0000
static,4.469119,35.056754,479.0000
static,4.469119,35.101670,487.0000
static,4.469119,35.146585,860.0000
static,4.469119,35.191501,998.0000
static,4.469119,35.236417,602.0000
static,4.469119,35.281333,552.0000
static,4.469119,35.326249,561.0000
static,4.469119,35.371164,576.0000
static,4.469119,35.416080,598.0000
static,4.469119,35.460996,630.0000
static,4.469119,35.505912,685.0000
static,4.469119,35.550827,656.0000
static,4.469119,35.595743,541.0000
static,4.469119,35.640659,522.0000
static,4.469119,35.685575,499.0000
static,4.469119,35.730490,546.0000
static,4.469119,35.775406,657.0000
static,4.469119,35.820322,706.0000
static,4.469119,35.865238,370.0000
static,4.469119,35.910153,380.0000
static,4.469119,35.955069,364.0000
static,4.469119,35.999985,364.0000
static,4.469119,36.044901,362.0000
static,4.469119,36.089817,361.0000
static,4.469119,36.134732,361.0000
static,4.469119,36.179648,362.0000
static,4.469119,36.224564,379.0000
static,4.469119,36.269480,414.0000
static,4.469119,36.314395,457.0000
static,4.469119,36.359311,527.0000
static,4.469119,36.404227,554.0000
static,4.469119,36.449143,592.0000
static,4.469119,36.494058,615.0000
static,4.469119,36.538974,690.0000
static,4.469119,36.583890,713.0000
static,4.469119,36.628806,786.0000
static,4.469119,36.673721,684.0000
static,4.469119,36.808469,507.0000
static,4.469119,36.853385,558.0000
static,4.424203,34.158439,664.0000
static,4.424203,34.203354,649.0000
static,4.424203,34.248270,632.0000
static,4.424203,34.293186,607.0000
static,4.424203,34.338102,945.0000
static,4.424203,34.383017,1026.0000
static,4.424203,34.427933,705.0000
static,4.424203,34.472849,536.0000
static,4.424203,34.517765,524.0000
static,4.424203,34.562681,517.0000
static,4.424203,34.607596,512.0000
static,4.424203,34.652512,500.0000
static,4.424203,34.697428,494.0000
static,4.424203,34.742344,489.0000
static,4.424203,34.787259,485.0000
static,4.424203,34.832175,483.0000
static,4.424203,34.877091,482.0000
static,4.424203,34.922007,482.0000
static,4.424203,34.966922,482.0000
static,4.424203,35.011838,485.0000
static,4.424203,35.056754,485.0000
static,4.424203,35.101670,489.0000
static,4.424203,35.146585,652.0000
static,4.424203,35.191501,613.0000
static,4.424203,35.236417,540.0000
static,4.424203,35.281333,531.0000
static,4.424203,35.326249,559.0000
static,4.424203,35.371164,584.0000
static,4.424203,35.416080,625.0000
static,4.424203,35.460996,639.0000
static,4.424203,35.505912,607.0000
static,4.424203,35.550827,592.0000
static,4.424203,35.595743,554.0000
static,4.424203,35.640659,532.0000
static,4.424203,35.685575,555.0000
static,4.424203,35.730490,640.0000
static,4.424203,35.775406,883.0000
static,4.424203,35.820322,1085.0000
static,4.424203,35.865238,383.0000
static,4.424203,35.910153,376.0000
static,4.424203,35.955069,361.0000
static,4.424203,35.999985,361.0000
static,4.424203,36.044901,361.0000
static,4.424203,36.089817,361.0000
static,4.424203,36.134732,361.0000
static,4.424203,36.179648,361.0000
static,4.424203,36.224564,377.0000
static,4.424203,36.269480,411.0000
static,4.424203,36.314395,440.0000
static,4.424203,36.359311,492.0000
static,4.424203,36.404227,529.0000
static,4.424203,36.449143,576.0000
static,4.424203,36.494058,605.0000
static,4.424203,36.538974,689.0000
static,4.424203,36.583890,748.0000
static,4.424203,36.628806,714.0000
static,4.424203,36.673721,637.0000
static,4.424203,36.718637,506.0000
static,4.424203,36.763553,522.0000
static,4.424203,36.808469,546.0000
static,4.424203,36.853385,593.0000
static,4.424203,36.898300,615.0000
static,4.424203,36.943216,747.0000
static,4.379287,34.113523,725.0000
static,4.379287,34.158439,679.0000
static,4.379287,34.203354,663.0000
static,4.379287,34.248270,637.0000
static,4.379287,34.293186,622.0000
static,4.379287,34.338102,921.0000
static,4.379287,34.383017,744.0000
static,4.379287,34.427933,622.0000
static,4.379287,34.472849,542.0000
static,4.379287,34.517765,532.0000
static,4.379287,34.562681,525.0000
static,4.379287,34.607596,520.0000
static,4.379287,34.652512,505.0000
static,4.379287,34.697428,499.0000
static,4.379287,34.742344,493.0000
static,4.379287,34.787259,489.0000
static,4.379287,34.832175,487.0000
static,4.379287,34.877091,487.0000
static,4.379287,34.922007,485.0000
static,4.379287,34.966922,485.0000
static,4.379287,35.011838,489.0000
static,4.379287,35.056754,489.0000
static,4.379287,35.101670,490.0000
static,4.379287,35.146585,589.0000
static,4.379287,35.191501,550.0000
static,4.379287,35.236417,526.0000
static,4.379287,35.281333,532.0000
static,4.379287,35.326249,561.0000
static,4.379287,35.371164,588.0000
static,4.379287,35.416080,668.0000
static,4.379287,35.460996,691.0000
