month,lat,lon,max_temp_c,ndvi,veg_cover_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3
2014-05,5.008108,35.326249,49.1700,0.2139,2.3167,23.4926,50.1778,0.1111
2014-05,5.008108,35.371164,48.6900,0.2212,3.5333,24.7272,49.3291,0.0977
2014-05,5.008108,35.416080,45.6500,0.2428,7.1250,27.1179,49.3291,0.0977
2014-05,4.963192,35.146585,42.7900,0.2762,12.7083,31.3348,50.1238,0.1712
2014-05,4.963192,35.191501,43.6700,0.2440,7.3333,31.9880,50.8613,0.1529
2014-05,4.963192,35.236417,45.5300,0.2303,5.0583,32.5430,50.8613,0.1529
2014-05,4.963192,35.281333,45.1100,0.2352,5.8667,30.1547,50.1778,0.1111
2014-05,4.963192,35.326249,47.4100,0.2620,10.3333,29.1016,50.1778,0.1111
2014-05,4.963192,35.371164,42.8900,0.2744,12.4083,39.3157,49.3291,0.0977
2014-05,4.963192,35.416080,44.7900,0.2529,8.8083,37.9951,49.3291,0.0977
2014-05,4.918276,35.011838,41.6500,0.3674,27.9083,39.0435,50.8814,0.1756
2014-05,4.918276,35.056754,41.2300,0.3357,22.6250,48.4090,51.4419,0.1232
2014-05,4.918276,35.101670,40.3100,0.2919,15.3083,41.2545,51.4419,0.1232
2014-05,4.918276,35.146585,41.9500,0.3119,18.6417,41.2545,51.4419,0.1232
2014-05,4.918276,35.191501,42.5900,0.3065,17.7500,35.9501,52.0974,0.1375
2014-05,4.918276,35.236417,43.5500,0.2828,13.8000,28.9633,52.0974,0.1375
2014-05,4.918276,35.281333,45.4900,0.2245,4.0750,26.2156,50.8885,0.1218
2014-05,4.918276,35.326249,44.9100,0.2137,2.2750,29.6958,50.8885,0.1218
2014-05,4.918276,35.371164,43.8500,0.2611,10.1917,40.9525,49.8000,0.1081
2014-05,4.918276,35.416080,45.4300,0.2167,2.7917,44.0441,49.8000,0.1081
2014-05,4.918276,35.460996,40.7700,0.3986,33.1000,56.4670,48.1116,0.1633
2014-05,4.918276,35.505912,34.4500,0.5010,50.1583,66.8055,48.1116,0.1633
