month,lat,lon,max_temp_c,min_temp_c,mean_temp_c,dtr_c,elevation_m,ndvi,evi,veg_cover_pct,forest_pct,savanna_pct,wetland_pct,cropland_pct,urban_pct,surface_water_occurrence_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3,wind_speed_ms
2014-06,5.008108,35.326249,46.2900,24.0300,35.2575,22.2600,456.0000,0.1942,0.1036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.1156,44.6767,0.0620,2.0100
2014-06,5.008108,35.371164,45.4700,25.7100,35.6325,19.7600,461.0000,0.1980,0.1061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.0583,42.7354,0.0502,2.3172
2014-06,5.008108,35.416080,42.8100,25.3900,34.1575,17.4200,552.0000,0.1994,0.1059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.5540,42.7354,0.0502,2.3172
2014-06,4.963192,35.146585,42.1500,24.0900,33.4475,18.0600,459.0000,0.2414,0.1230,6.9083,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,33.1190,46.2591,0.1235,1.5425
2014-06,4.963192,35.191501,43.5300,24.9900,33.5450,18.5400,455.0000,0.2151,0.1130,2.5167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,30.2246,46.2643,0.0961,1.7111
2014-06,4.963192,35.236417,43.9300,24.0100,34.1775,19.9200,488.0000,0.2034,0.1175,0.5583,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,29.8543,46.2643,0.0961,1.7111
2014-06,4.963192,35.281333,42.5300,24.6900,33.6950,17.8400,459.0000,0.2176,0.1104,2.9333,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,28.4210,44.6767,0.0620,2.0100
2014-06,4.963192,35.326249,42.3300,25.1900,33.8200,17.1400,455.0000,0.2292,0.1194,4.8583,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,26.1830,44.6767,0.0620,2.0100
2014-06,4.963192,35.371164,40.3700,24.2500,32.3350,16.1200,602.0000,0.2341,0.1300,5.6750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.2747,42.7354,0.0502,2.3172
2014-06,4.963192,35.416080,42.6500,24.7100,33.8200,17.9400,553.0000,0.2149,0.1209,2.4833,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,20.0253,42.7354,0.0502,2.3172
2014-06,4.918276,35.011838,42.1300,23.6900,32.9925,18.4400,507.0000,0.2629,0.1384,10.4750,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,31.1537,48.4235,0.1344,1.4336
2014-06,4.918276,35.056754,40.8900,23.9700,32.8800,16.9200,585.0000,0.2569,0.1373,9.4833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,37.5012,49.1400,0.0842,1.4605
2014-06,4.918276,35.101670,39.7900,24.3500,32.0550,15.4400,658.0000,0.2372,0.1225,6.2000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,30.1602,49.1400,0.0842,1.4605
2014-06,4.918276,35.146585,40.8700,24.6900,32.7975,16.1800,545.0000,0.2546,0.1356,9.0917,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,30.1602,49.1400,0.0842,1.4605
2014-06,4.918276,35.191501,40.2500,25.0100,32.9150,15.2400,533.0000,0.2467,0.1305,7.7750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,31.7449,49.2549,0.0990,1.6238
2014-06,4.918276,35.236417,42.7900,24.8900,34.1500,17.9000,489.0000,0.2240,0.1242,3.9917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,22.3768,49.2549,0.0990,1.6238
2014-06,4.918276,35.281333,43.0500,25.1100,34.2250,17.9400,495.0000,0.2070,0.1025,1.1583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.6420,45.9145,0.0751,1.9607
2014-06,4.918276,35.326249,43.2300,25.2700,34.2175,17.9600,606.0000,0.2018,0.1055,0.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.1575,45.9145,0.0751,1.9607
2014-06,4.918276,35.371164,41.2300,24.0900,32.7275,17.1400,649.0000,0.2258,0.1216,4.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.6803,43.1931,0.0550,2.2989
2014-06,4.918276,35.416080,42.9900,24.4300,34.0700,18.5600,590.0000,0.1952,0.1118,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.8754,43.1931,0.0550,2.2989
2014-06,4.918276,35.460996,39.5700,22.3500,31.1000,17.2200,990.0000,0.2875,0.1636,14.5917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.6470,41.1131,0.1031,2.6242
2014-06,4.918276,35.505912,33.1700,21.1300,26.9850,12.0400,1386.0000,0.4006,0.2220,33.4250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,33.2250,41.1131,0.1031,2.6242
2014-06,4.918276,35.550827,31.6700,20.9300,25.9525,10.7400,1308.0000,0.4588,0.2520,43.1333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.7593,39.4201,0.1609,2.9577
2014-06,4.873360,34.922007,48.3700,23.8100,35.4792,24.5600,453.0000,0.1854,0.0959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,25.0069,46.5229,0.1591,1.4075
2014-06,4.873360,34.966922,41.8900,24.5100,32.8283,17.3800,455.0000,0.2614,0.1351,10.2250,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,24.2824,48.4235,0.1344,1.4336
2014-06,4.873360,35.011838,41.9900,23.0900,32.6275,18.9000,487.0000,0.2584,0.1334,9.7250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,27.5632,48.4235,0.1344,1.4336
2014-06,4.873360,35.056754,42.4300,23.5100,32.5675,18.9200,532.0000,0.2609,0.1492,10.1417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,26.5298,49.1400,0.0842,1.4605
2014-06,4.873360,35.101670,39.9900,23.3500,31.9525,16.6400,514.0000,0.2328,0.1268,5.4583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.7478,49.1400,0.0842,1.4605
2014-06,4.873360,35.146585,40.3900,24.3500,32.1725,16.0400,594.0000,0.2320,0.1253,5.3250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,23.7478,49.1400,0.0842,1.4605
