month,lat,lon,max_temp_c,ndvi,veg_cover_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3
2001-04,5.008108,35.326249,47.5300,0.2028,0.4583,46.4386,64.5305,0.1673
2001-04,5.008108,35.371164,46.5700,0.2303,5.0500,46.2582,63.5472,0.1394
2001-04,5.008108,35.416080,41.5300,0.2753,12.5500,47.4361,63.5472,0.1394
2001-04,4.963192,35.146585,44.1900,0.3331,22.1833,44.6330,62.4270,0.2414
2001-04,4.963192,35.191501,43.4500,0.3103,18.3750,43.4601,64.6356,0.2314
2001-04,4.963192,35.236417,43.9100,0.2792,13.2083,45.1897,64.6356,0.2314
2001-04,4.963192,35.281333,43.8900,0.2934,15.5750,45.5187,64.5305,0.1673
2001-04,4.963192,35.326249,43.0700,0.3827,30.4500,46.9090,64.5305,0.1673
2001-04,4.963192,35.371164,39.1100,0.3967,32.7750,53.5151,63.5472,0.1394
2001-04,4.963192,35.416080,41.1900,0.3209,20.1500,54.8846,63.5472,0.1394
2001-04,4.918276,35.011838,41.8900,0.2679,11.3083,48.3965,61.5391,0.2367
2001-04,4.918276,35.056754,42.1500,0.2875,14.5917,51.3771,65.0153,0.1912
2001-04,4.918276,35.101670,42.1700,0.3364,22.7333,49.8987,65.0153,0.1912
2001-04,4.918276,35.146585,42.7300,0.3587,26.4500,49.8987,65.0153,0.1912
2001-04,4.918276,35.191501,42.1900,0.3301,21.6750,43.6185,65.6114,0.2168
2001-04,4.918276,35.236417,45.3100,0.2627,10.4500,41.0906,65.6114,0.2168
2001-04,4.918276,35.281333,45.0300,0.3088,18.1250,39.7582,65.0317,0.1910
2001-04,4.918276,35.326249,44.6700,0.3103,18.3833,44.5023,65.0317,0.1910
2001-04,4.918276,35.371164,39.7500,0.3675,27.9083,52.3111,64.2312,0.1635
2001-04,4.918276,35.416080,43.1900,0.2589,9.8083,54.4441,64.2312,0.1635
2001-04,4.918276,35.460996,38.4900,0.4103,35.0417,71.8621,61.7547,0.2273
2001-04,4.918276,35.505912,33.8500,0.4532,42.2000,79.1291,61.7547,0.2273
2001-04,4.918276,35.550827,30.0900,0.5425,57.0833,81.1129,61.4465,0.2972
2001-04,4.873360,34.922007,44.1100,0.2183,3.0583,58.1557,57.8381,0.2386
2001-04,4.873360,34.966922,42.2100,0.3179,19.6417,51.7266,61.5391,0.2367
2001-04,4.873360,35.011838,41.4500,0.3180,19.6583,53.6090,61.5391,0.2367
2001-04,4.873360,35.056754,40.7700,0.3213,20.2083,48.8231,65.0153,0.1912
2001-04,4.873360,35.101670,41.8700,0.3394,23.2333,45.5462,65.0153,0.1912
2001-04,4.873360,35.146585,41.2700,0.3657,27.6083,45.5462,65.0153,0.1912
2001-04,4.873360,35.191501,39.3100,0.3427,23.7833,43.8704,65.6114,0.2168
2001-04,4.873360,35.236417,45.0300,0.2303,5.0417,40.9010,65.6114,0.2168
2001-04,4.873360,35.281333,44.2100,0.2685,11.4083,43.3754,65.0317,0.1910
2001-04,4.873360,35.326249,41.8300,0.3353,22.5417,46.2054,65.0317,0.1910
2001-04,4.873360,35.371164,39.7300,0.3404,23.3917,48.6239,64.2312,0.1635
2001-04,4.873360,35.416080,40.8500,0.3432,23.8667,54.4041,64.2312,0.1635
2001-04,4.873360,35.460996,34.0300,0.4370,39.4917,67.6400,61.7547,0.2273
2001-04,4.873360,35.505912,31.7700,0.5780,63.0000,82.3204,61.7547,0.2273
2001-04,4.873360,35.550827,25.4500,0.5947,65.7750,80.2336,61.4465,0.2972
2001-04,4.828445,34.787259,42.6500,0.2567,9.4500,56.0949,57.5473,0.2379
2001-04,4.828445,34.832175,45.8300,0.3026,17.1083,51.7900,57.5473,0.2379
2001-04,4.828445,34.877091,47.8700,0.2853,14.2167,54.9768,58.7783,0.2355
2001-04,4.828445,34.922007,47.1300,0.2340,5.6667,55.1935,58.7783,0.2355
2001-04,4.828445,34.966922,40.7500,0.4254,37.5583,49.0773,62.3029,0.2175
2001-04,4.828445,35.011838,40.5700,0.4121,35.3417,48.8200,62.3029,0.2175
2001-04,4.828445,35.056754,41.3700,0.3991,33.1833,45.7431,65.6272,0.2079
2001-04,4.828445,35.101670,42.7100,0.3093,18.2083,48.0522,65.6272,0.2079
2001-04,4.828445,35.146585,42.2500,0.3378,22.9750,48.0522,65.6272,0.2079
2001-04,4.828445,35.191501,40.3300,0.3468,24.4583,45.1493,65.7378,0.2263
2001-04,4.828445,35.236417,36.6300,0.4189,36.4750,46.5391,65.7378,0.2263
2001-04,4.828445,35.281333,33.2900,0.4472,41.2000,51.3536,65.2351,0.1946
2001-04,4.828445,35.326249,38.7700,0.3293,21.5417,49.7023,65.2351,0.1946
2001-04,4.828445,35.371164,41.4700,0.2983,16.3833,49.7232,64.8204,0.1813
2001-04,4.828445,35.416080,35.8700,0.4712,45.2000,54.0377,64.8204,0.1813
2001-04,4.828445,35.460996,31.7100,0.4758,45.9583,67.3472,63.4302,0.2670
2001-04,4.828445,35.505912,28.4100,0.5147,52.4500,81.0376,63.4302,0.2670
2001-04,4.828445,35.550827,26.6900,0.5766,62.7750,73.1110,61.5393,0.2478
2001-04,4.783529,34.652512,42.4300,0.3279,21.3250,57.5135,58.6278,0.1856
2001-04,4.783529,34.697428,44.3700,0.3120,18.6750,57.5135,58.6278,0.1856
2001-04,4.783529,34.742344,43.0700,0.3019,16.9750,51.3494,58.6278,0.1856
2001-04,4.783529,34.787259,44.3300,0.2621,10.3417,48.2451,57.5473,0.2379
2001-04,4.783529,34.832175,43.0100,0.3461,24.3500,48.5515,57.5473,0.2379
2001-04,4.783529,34.877091,40.5900,0.3230,20.5000,49.1837,58.7783,0.2355
2001-04,4.783529,34.922007,40.5500,0.2104,1.7333,50.7425,58.7783,0.2355
2001-04,4.783529,34.966922,45.6700,0.2593,9.8917,47.5080,62.3029,0.2175
2001-04,4.783529,35.011838,41.4500,0.4356,39.2667,43.6203,62.3029,0.2175
2001-04,4.783529,35.056754,42.1100,0.3802,30.0333,38.5371,65.6272,0.2079
2001-04,4.783529,35.101670,42.7500,0.2679,11.3167,42.0145,65.6272,0.2079
2001-04,4.783529,35.146585,41.6100,0.2811,13.5083,42.0145,65.6272,0.2079
2001-04,4.783529,35.191501,39.1300,0.3082,18.0333,43.3598,65.7378,0.2263
2001-04,4.783529,35.236417,36.6900,0.3790,29.8333,47.9076,65.7378,0.2263
2001-04,4.783529,35.281333,32.9100,0.4607,43.4583,56.0907,65.2351,0.1946
2001-04,4.783529,35.326249,40.6100,0.3191,19.8417,50.0254,65.2351,0.1946
2001-04,4.783529,35.371164,40.6100,0.2850,14.1667,43.2064,64.8204,0.1813
2001-04,4.783529,35.416080,40.8700,0.3108,18.4583,48.5971,64.8204,0.1813
2001-04,4.783529,35.460996,31.9300,0.5195,53.2583,65.3505,63.4302,0.2670
2001-04,4.783529,35.505912,27.3300,0.5099,51.6500,72.4943,63.4302,0.2670
2001-04,4.738613,34.562681,42.3300,0.3677,27.9500,59.9503,56.6907,0.1694
2001-04,4.738613,34.607596,41.7300,0.3940,32.3333,58.8807,56.6907,0.1694
2001-04,4.738613,34.652512,41.6500,0.3686,28.1000,59.9105,58.2276,0.1728
2001-04,4.738613,34.697428,41.9500,0.3525,25.4167,59.9105,58.2276,0.1728
2001-04,4.738613,34.742344,42.0900,0.3394,23.2250,51.9132,58.2276,0.1728
2001-04,4.738613,34.787259,44.3100,0.2833,13.8750,42.8404,58.9289,0.1947
2001-04,4.738613,34.832175,44.3100,0.2389,6.4833,42.8249,58.9289,0.1947
2001-04,4.738613,34.877091,42.7700,0.2209,3.4750,43.8652,59.1299,0.2387
