month,lat,lon,max_temp_c,min_temp_c,mean_temp_c,dtr_c,elevation_m,ndvi,evi,veg_cover_pct,forest_pct,savanna_pct,wetland_pct,cropland_pct,urban_pct,surface_water_occurrence_pct,rain_mm,humidity_rh_pct,soil_moisture_m3m3,wind_speed_ms
2020-06,5.008108,35.326249,46.0100,20.8500,32.1433,25.1600,456.0000,0.2344,0.1192,5.7333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,38.4137,60.6413,0.1694,1.3622
2020-06,5.008108,35.371164,42.4500,21.9300,32.4975,20.5200,461.0000,0.2902,0.1579,15.0250,0.0000,0.0113,0.0000,0.0000,0.0000,0.0000,32.8752,60.2720,0.1477,1.4817
2020-06,5.008108,35.416080,41.5100,24.4700,32.4525,17.0400,552.0000,0.2946,0.1593,15.7667,0.0000,1.7164,0.0000,0.0000,0.0000,0.0000,34.5143,60.2720,0.1477,1.4817
2020-06,4.963192,35.146585,40.9500,22.5300,30.1883,18.4200,459.0000,0.4284,0.2357,38.0583,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,51.1706,59.7747,0.2281,1.2104
2020-06,4.963192,35.191501,41.1300,22.9700,31.4117,18.1600,455.0000,0.3234,0.1769,20.5667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,43.4417,60.6094,0.2160,1.2618
2020-06,4.963192,35.236417,42.0300,22.4100,31.4550,19.6200,488.0000,0.3075,0.1762,17.9083,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,45.5900,60.6094,0.2160,1.2618
2020-06,4.963192,35.281333,41.8700,21.9900,31.2325,19.8800,459.0000,0.3130,0.1616,18.8333,0.0000,0.0000,0.0000,0.0000,0.0000,3.0000,50.0853,60.6413,0.1694,1.3622
2020-06,4.963192,35.326249,41.9500,21.8900,31.1067,20.0600,455.0000,0.3347,0.1700,22.4583,0.0000,0.0000,0.0000,0.0000,0.0000,4.0000,48.2561,60.6413,0.1694,1.3622
2020-06,4.963192,35.371164,38.6900,22.4300,29.3800,16.2600,602.0000,0.4433,0.2567,40.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.9568,60.2720,0.1477,1.4817
2020-06,4.963192,35.416080,42.2100,22.3900,30.9675,19.8200,553.0000,0.3805,0.2200,30.0917,0.0000,0.0000,0.0000,0.0000,0.0000,13.0000,47.3695,60.2720,0.1477,1.4817
